COURSE,YEAR,INTEGRANTES
"AGROCLIMATOLOGIA - XXIII Ciclo de Debates Agronômicos de Maringá, II Mostra de Trabalhos Ciêntíficos do Curso de Graduação e Pós-Graduação em Agronomia e I Encontro Paranaense de Estudos Agronômicos",2005,['Rivanildo Dallacort']
Modelagem Agrometeorológica,2007,['Rivanildo Dallacort']
Engenharia Agrícola - VII Mostra de Profissões,2004,"['Rivanildo Dallacort', 'Virindiana Colet Bortolotto', 'Paulo Sérgio Lourenço de Freitas']"
III Congresso Interno de Iniciação Científica - Desenvolvimento de Pesquisa para a Agroindustrializaçãono Estado do MT,2007,['Rivanildo Dallacort']
II Semana de Administração em Agronegócios - (Novas) Alternativas para a Sustentabilidade do Agronegócio em Mato Grosso,2007,"['Rivanildo Dallacort', 'Astor Henrique Nied']"
Curso sobre programa computacional R,2016,"['Rivanildo Dallacort', 'Rafael Cesar Tieppo', 'Adalberto Santi']"
Gerenciamento de Referências Bibliográ&amp;#64257;cas com o Software Mendeley,2016,"['Rivanildo Dallacort', 'Rafael Cesar Tieppo']"
Planejamento de sistemas mecanizados na agricultura,2017,"['Rivanildo Dallacort', 'Rafael Cesar Tieppo', 'Adalberto Santi']"
Mudanças do clima e agricultura,2017,"['Rivanildo Dallacort', 'Adalberto Santi', 'Rafael Cesar Tieppo']"
Produção de Hortaliças de Frutos e Folhosas,2017,"['Rivanildo Dallacort', 'Adalberto Santi', 'Rafael Cesar Tieppo']"
Manejo de Bacias Hidrográficas e Distribuição das chuvas no Estado do Mato Grosso,2009,['Rivanildo Dallacort']
